0	1	2	3	4	5	6
0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	3.0	3.0	3.0	3.0	3.0
2.0	2.0	4.0	4.0	4.0	4.0	4.0
3.0	3.0	5.0	5.0	5.0	5.0	5.0
4.0	4.0	9.0	9.0	9.0	9.0	9.0
5.0	5.0	11.0	10.0	10.0	11.0	11.0
6.0	6.0	12.0	11.0	11.0	12.0	12.0
7.0	7.0	13.0	12.0	12.0	13.0	13.0
8.0	8.0	14.0	13.0	13.0	14.0	14.0
9.0	9.0	15.0	14.0	14.0	15.0	15.0
10.0	10.0	16.0	15.0	15.0	16.0	16.0
11.0	11.0	17.0	16.0	16.0	17.0	17.0
12.0	12.0	20.0	20.0	22.0	20.0	20.0
13.0	13.0	21.0	21.0	23.0	21.0	21.0
14.0	14.0	25.0	24.0	24.0	25.0	25.0
15.0	15.0	26.0	25.0	25.0	26.0	26.0
16.0	16.0	27.0	26.0	26.0	27.0	27.0
17.0	17.0	28.0	27.0	27.0	28.0	28.0
18.0	18.0	29.0	28.0	28.0	29.0	29.0
19.0	19.0	30.0	29.0	29.0	30.0	30.0
20.0	20.0	31.0	30.0	30.0	31.0	31.0
21.0	21.0	32.0	31.0	31.0	32.0	32.0
22.0	22.0	33.0	32.0	32.0	33.0	33.0
23.0	23.0	34.0	33.0	33.0	34.0	34.0
24.0	24.0	35.0	34.0	34.0	35.0	35.0
25.0	25.0	36.0	35.0	35.0	36.0	36.0
26.0	26.0	37.0	36.0	36.0	37.0	37.0
27.0	27.0	38.0	37.0	37.0	38.0	38.0
28.0	28.0	49.0	47.0	47.0	47.0	46.0
29.0	29.0	50.0	48.0	48.0	48.0	47.0
30.0	30.0	51.0	49.0	49.0	49.0	48.0
31.0	31.0	52.0	50.0	50.0	50.0	49.0
32.0	32.0	54.0	52.0	52.0	51.0	50.0
33.0	33.0	55.0	53.0	53.0	52.0	51.0
34.0	34.0	56.0	54.0	54.0	53.0	52.0
35.0	35.0	57.0	55.0	55.0	54.0	53.0
36.0	36.0	73.0	59.0	58.0	60.0	69.0
37.0	37.0	74.0	60.0	59.0	61.0	70.0
38.0	38.0	75.0	61.0	60.0	62.0	71.0
39.0	39.0	76.0	62.0	61.0	63.0	72.0
40.0	40.0	114.0	76.0	77.0	64.0	79.0
41.0	41.0	114.0	77.0	78.0	65.0	80.0
42.0	42.0	114.0	78.0	79.0	66.0	81.0
43.0	43.0	114.0	79.0	80.0	67.0	82.0
44.0	44.0	114.0	80.0	81.0	68.0	83.0
45.0	45.0	114.0	81.0	82.0	69.0	84.0
46.0	46.0	114.0	82.0	83.0	70.0	85.0
47.0	47.0	114.0	83.0	84.0	71.0	86.0
48.0	48.0	114.0	84.0	85.0	72.0	87.0
49.0	49.0	114.0	85.0	86.0	73.0	88.0
50.0	50.0	114.0	86.0	87.0	74.0	89.0
51.0	51.0	114.0	87.0	88.0	75.0	90.0
52.0	52.0	114.0	88.0	89.0	76.0	91.0
53.0	53.0	114.0	89.0	90.0	77.0	92.0
54.0	54.0	114.0	90.0	91.0	78.0	93.0
55.0	55.0	114.0	91.0	92.0	79.0	94.0
56.0	56.0	114.0	92.0	93.0	80.0	95.0
57.0	82.0	114.0	111.0	117.0	81.0	116.0
58.0	83.0	114.0	111.0	117.0	82.0	116.0
59.0	84.0	114.0	111.0	117.0	83.0	116.0
60.0	85.0	114.0	111.0	117.0	83.0	116.0
61.0	86.0	114.0	111.0	117.0	83.0	116.0
62.0	87.0	114.0	111.0	117.0	83.0	116.0
63.0	87.0	114.0	111.0	117.0	83.0	116.0
64.0	87.0	114.0	111.0	117.0	83.0	116.0
65.0	87.0	114.0	111.0	117.0	83.0	116.0
66.0	87.0	114.0	111.0	117.0	83.0	116.0
67.0	87.0	114.0	111.0	117.0	83.0	116.0
68.0	87.0	114.0	111.0	117.0	83.0	116.0
69.0	87.0	114.0	111.0	117.0	83.0	116.0
70.0	87.0	114.0	111.0	117.0	83.0	116.0
71.0	90.0	114.0	116.0	117.0	83.0	116.0
72.0	117.0	114.0	116.0	117.0	83.0	116.0
73.0	117.0	114.0	116.0	117.0	83.0	116.0
74.0	117.0	114.0	116.0	117.0	83.0	116.0
75.0	117.0	114.0	116.0	117.0	83.0	116.0
76.0	117.0	114.0	116.0	117.0	86.0	116.0
77.0	117.0	114.0	116.0	117.0	87.0	116.0
78.0	117.0	114.0	116.0	117.0	94.0	116.0
79.0	117.0	114.0	116.0	117.0	102.0	116.0
80.0	117.0	114.0	116.0	117.0	103.0	116.0
81.0	117.0	114.0	116.0	117.0	104.0	116.0
82.0	117.0	114.0	116.0	117.0	105.0	116.0
83.0	117.0	114.0	116.0	117.0	106.0	116.0
84.0	117.0	114.0	116.0	117.0	107.0	116.0
85.0	117.0	114.0	116.0	117.0	107.0	116.0
86.0	117.0	114.0	116.0	117.0	107.0	116.0
