0	1	2	3	4	5	6	7
0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
1.0	6.0	5.0	6.0	3.0	5.0	5.0	4.0
2.0	7.0	6.0	7.0	4.0	6.0	6.0	5.0
3.0	8.0	7.0	8.0	5.0	7.0	7.0	6.0
4.0	9.0	8.0	9.0	6.0	8.0	8.0	7.0
5.0	10.0	9.0	10.0	7.0	9.0	9.0	8.0
6.0	11.0	10.0	11.0	8.0	10.0	10.0	9.0
7.0	12.0	11.0	12.0	9.0	11.0	11.0	10.0
8.0	13.0	12.0	13.0	10.0	12.0	12.0	11.0
9.0	14.0	13.0	14.0	11.0	13.0	13.0	12.0
10.0	15.0	14.0	15.0	12.0	14.0	14.0	13.0
11.0	16.0	15.0	16.0	13.0	15.0	15.0	14.0
12.0	17.0	16.0	17.0	14.0	16.0	16.0	15.0
13.0	18.0	17.0	18.0	15.0	17.0	17.0	16.0
14.0	19.0	18.0	19.0	16.0	18.0	18.0	17.0
15.0	21.0	21.0	21.0	17.0	19.0	21.0	21.0
16.0	29.0	29.0	29.0	28.0	29.0	29.0	29.0
17.0	30.0	30.0	30.0	29.0	30.0	30.0	30.0
18.0	31.0	31.0	31.0	30.0	31.0	31.0	31.0
19.0	32.0	32.0	32.0	31.0	32.0	32.0	32.0
20.0	33.0	33.0	33.0	32.0	33.0	33.0	33.0
21.0	35.0	35.0	36.0	34.0	36.0	35.0	35.0
22.0	36.0	36.0	37.0	35.0	37.0	36.0	36.0
23.0	37.0	39.0	43.0	36.0	40.0	38.0	37.0
24.0	38.0	40.0	44.0	37.0	41.0	39.0	38.0
25.0	39.0	41.0	49.0	38.0	44.0	40.0	39.0
26.0	40.0	42.0	49.0	39.0	45.0	41.0	40.0
27.0	41.0	44.0	49.0	44.0	48.0	46.0	41.0
28.0	42.0	45.0	49.0	45.0	49.0	47.0	42.0
29.0	88.0	88.0	90.0	91.0	51.0	49.0	89.0
30.0	88.0	88.0	90.0	91.0	51.0	49.0	89.0
31.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
32.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
33.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
34.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
35.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
36.0	88.0	88.0	90.0	91.0	91.0	91.0	89.0
37.0	91.0	88.0	91.0	91.0	91.0	91.0	89.0
38.0	91.0	88.0	91.0	91.0	91.0	93.0	89.0
39.0	91.0	88.0	91.0	91.0	91.0	93.0	89.0
40.0	91.0	88.0	91.0	91.0	91.0	93.0	89.0
41.0	91.0	88.0	91.0	108.0	121.0	93.0	89.0
42.0	91.0	88.0	91.0	108.0	121.0	93.0	89.0
43.0	91.0	88.0	91.0	108.0	121.0	93.0	89.0
44.0	91.0	88.0	91.0	108.0	121.0	93.0	89.0
45.0	106.0	107.0	111.0	108.0	121.0	109.0	109.0
46.0	107.0	108.0	111.0	108.0	121.0	109.0	109.0
47.0	107.0	108.0	111.0	108.0	121.0	111.0	109.0
48.0	107.0	108.0	111.0	108.0	121.0	111.0	109.0
49.0	107.0	108.0	111.0	108.0	121.0	111.0	109.0
50.0	107.0	108.0	111.0	108.0	121.0	111.0	109.0
51.0	107.0	108.0	111.0	108.0	121.0	111.0	109.0
52.0	107.0	108.0	111.0	119.0	121.0	111.0	109.0
53.0	107.0	108.0	111.0	119.0	121.0	111.0	112.0
54.0	107.0	108.0	111.0	119.0	121.0	111.0	113.0
55.0	107.0	108.0	111.0	119.0	121.0	111.0	114.0
56.0	107.0	108.0	111.0	119.0	121.0	111.0	115.0
57.0	107.0	108.0	111.0	119.0	121.0	111.0	116.0
58.0	107.0	108.0	111.0	119.0	121.0	111.0	117.0
59.0	107.0	108.0	111.0	120.0	121.0	111.0	118.0
60.0	107.0	108.0	111.0	120.0	121.0	111.0	119.0
61.0	107.0	108.0	111.0	120.0	121.0	111.0	120.0
62.0	107.0	108.0	111.0	120.0	121.0	111.0	121.0
63.0	107.0	108.0	111.0	120.0	121.0	112.0	122.0
64.0	107.0	108.0	111.0	120.0	121.0	113.0	123.0
65.0	107.0	108.0	111.0	120.0	121.0	114.0	123.0
66.0	107.0	108.0	111.0	120.0	122.0	115.0	123.0
67.0	107.0	108.0	111.0	120.0	123.0	116.0	123.0
68.0	107.0	108.0	111.0	120.0	123.0	117.0	123.0
69.0	107.0	108.0	111.0	120.0	123.0	118.0	123.0
70.0	107.0	108.0	111.0	120.0	123.0	119.0	123.0
71.0	107.0	108.0	111.0	121.0	123.0	120.0	123.0
72.0	107.0	108.0	111.0	122.0	123.0	121.0	123.0
73.0	108.0	108.0	111.0	123.0	123.0	122.0	124.0
74.0	108.0	108.0	111.0	124.0	123.0	123.0	125.0
75.0	108.0	108.0	111.0	124.0	123.0	123.0	126.0
76.0	108.0	108.0	111.0	124.0	123.0	123.0	127.0
77.0	108.0	108.0	111.0	124.0	123.0	123.0	128.0
78.0	108.0	108.0	111.0	124.0	123.0	123.0	129.0
79.0	108.0	108.0	111.0	124.0	123.0	123.0	130.0
80.0	108.0	108.0	111.0	124.0	123.0	123.0	131.0
81.0	108.0	108.0	111.0	124.0	124.0	123.0	131.0
82.0	108.0	109.0	111.0	124.0	125.0	123.0	131.0
83.0	108.0	110.0	112.0	124.0	125.0	124.0	131.0
84.0	108.0	111.0	113.0	124.0	125.0	125.0	131.0
85.0	108.0	111.0	114.0	124.0	125.0	125.0	131.0
86.0	108.0	111.0	115.0	124.0	125.0	125.0	131.0
87.0	108.0	111.0	116.0	124.0	125.0	125.0	131.0
88.0	108.0	111.0	117.0	124.0	125.0	125.0	131.0
89.0	108.0	111.0	118.0	124.0	125.0	125.0	131.0
90.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
91.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
92.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
93.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
94.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
95.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
96.0	108.0	111.0	119.0	124.0	125.0	125.0	131.0
97.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
98.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
99.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
100.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
101.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
102.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
103.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
104.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
105.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
106.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
107.0	119.0	111.0	119.0	124.0	125.0	125.0	131.0
108.0	119.0	112.0	119.0	124.0	125.0	125.0	131.0
109.0	119.0	113.0	119.0	124.0	125.0	125.0	131.0
110.0	119.0	114.0	119.0	124.0	125.0	125.0	131.0
111.0	119.0	115.0	119.0	124.0	125.0	125.0	131.0
112.0	119.0	115.0	119.0	124.0	125.0	125.0	131.0
113.0	121.0	115.0	120.0	124.0	125.0	125.0	131.0
114.0	122.0	115.0	120.0	124.0	125.0	125.0	131.0
115.0	123.0	115.0	120.0	124.0	125.0	125.0	131.0
116.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
117.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
118.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
119.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
120.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
121.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
122.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
123.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
124.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
125.0	124.0	115.0	120.0	124.0	125.0	125.0	132.0
126.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
127.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
128.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
129.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
130.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
131.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
132.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
133.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
134.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
135.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
136.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
137.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
138.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
139.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
140.0	124.0	115.0	124.0	124.0	125.0	125.0	132.0
141.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
142.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
143.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
144.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
145.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
146.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
147.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
148.0	124.0	116.0	124.0	124.0	125.0	125.0	132.0
